n_neighbours,train_error,test_error
1,0.0,0.509
2,0.126,0.389
3,0.172,0.348
4,0.198,0.33
5,0.217,0.315
6,0.227,0.307
7,0.235,0.3
8,0.241,0.298
9,0.247,0.296
10,0.252,0.294
11,0.256,0.294
12,0.26,0.293
13,0.263,0.293
14,0.266,0.292
15,0.268,0.291
16,0.271,0.292
17,0.272,0.293
18,0.275,0.292
19,0.276,0.293
